Algorithm,N,Raw Time (ms),Normalized Time
ThreeSumQuadratic,250,2,6.4E-5
ThreeSumQuadrithmic,250,2,4.017181341655859E-6
ThreeSumCubic,250,6,2.3040000000000003E-6
ThreeSumQuadratic,500,2,1.6E-5
ThreeSumQuadrithmic,500,2,8.922811151820516E-7
ThreeSumCubic,500,21,1.0080000000000001E-6
ThreeSumQuadratic,1000,6,1.2E-5
ThreeSumQuadrithmic,1000,6,6.020599913279624E-7
ThreeSumCubic,1000,136,8.16E-7
ThreeSumQuadratic,2000,16,8.0E-6
ThreeSumQuadrithmic,2000,23,5.243582994827431E-7
ThreeSumCubic,2000,1016,7.620000000000001E-7
ThreeSumQuadratic,4000,59,7.375E-6
ThreeSumQuadrithmic,4000,120,6.267871642658314E-7
ThreeSumCubic,4000,8130,7.621875000000001E-7
ThreeSumQuadratic,8000,290,9.0625E-6
ThreeSumQuadrithmic,8000,612,7.375180544467324E-7
ThreeSumQuadratic,16000,1368,1.06875E-5
ThreeSumQuadrithmic,16000,2819,7.884783643761141E-7
